,total_queries,ctr,zero_resulto_rate,keywords,lang
1594,867.0,29.4507575758,82.1022727273,metalizada,Spanish
1723,863.0,53.1852717709,25.219170076,nylon,English
2297,853.0,7.48603351955,47.6536312849,strap,English
2574,850.0,53.6678553235,21.6505348956,volante,Spanish
617,849.0,32.8935795954,74.6701846966,burgundy,English
587,848.0,19.2672998643,38.3536861149,bralette,English
2191,844.0,30.2981895634,44.9414270501,shoulder,Spanish
2068,842.0,11.1371080955,39.4010294806,ring,English
1733,836.0,29.6913277805,40.9603135718,off,Spanish
1158,834.0,6.4182194617,86.3354037267,frill,English
2076,834.0,30.3220035778,74.5974955277,rise,English
1313,830.0,12.4052377671,57.2019297037,in,English
452,826.0,2.91576673866,89.2008639309,bikini,English
728,823.0,17.6888315042,53.1310522918,chain,English
615,823.0,0.0,100.0,burdeos,Spanish
559,820.0,0.0,100.0,bottoms,English
538,817.0,0.0,100.0,bordadas,Spanish
283,814.0,24.6153846154,73.665158371,acordonada,Spanish
1879,811.0,55.3900268984,16.7804676185,perlas,Spanish
673,809.0,44.4985394352,19.6932814021,campana,Spanish
2070,808.0,8.80298090359,37.6339077783,rinonera,Spanish
2286,804.0,19.2047377327,68.0203045685,star,Spanish
1088,803.0,55.3708958249,32.549655452,fedez,English
1001,800.0,31.1416184971,57.8034682081,double,English
927,795.0,61.0006738544,6.69642857143,cuero,Spanish
2393,792.0,16.4092664093,76.4478764479,teddy,English
1207,788.0,13.4213421342,86.6886688669,girl,Spanish
861,787.0,23.2340425532,66.9787234043,contrasting,English
871,785.0,28.2752902156,65.0912106136,cordones,Spanish
607,783.0,0.0,100.0,bubble,English
2043,781.0,0.0,100.0,rebajas,Spanish
1119,778.0,18.5756240822,57.1218795888,flat,English
1960,775.0,46.0132890365,21.4562569214,polipiel,Spanish
1741,773.0,8.22550831793,71.4417744917,open,English
1820,772.0,15.0872763679,3.36046663475,pants,English
704,771.0,62.6931567329,24.3140964995,cargo,English
69,765.0,6.88524590164,83.606557377,4,English
2471,764.0,12.1739130435,27.6811594203,traje,Spanish
2426,759.0,0.0,100.0,thin,English
1751,755.0,0.0,100.0,oriental,Spanish
474,754.0,0.0,100.0,block,English
1030,752.0,33.3543108874,47.3253618628,elastico,Spanish
2214,744.0,0.0,100.0,size,English
740,744.0,30.5467091295,4.93630573248,chandal,Spanish
1157,742.0,0.0,100.0,friends,Spanish
233,741.0,59.3568792831,39.061676331,800,Spanish
2632,740.0,39.4698514419,21.5554908244,zapatilla,Spanish
1899,739.0,0.0,100.0,pijamas,Spanish
803,735.0,27.2053372869,54.4848035582,cintura,Spanish
964,734.0,42.0689655172,17.4554102259,deportivo,Spanish
2589,734.0,14.1402714932,83.0316742081,wars,Spanish
356,733.0,35.4267533545,10.1397150367,azul,Spanish
2431,732.0,14.0946502058,75.3086419753,tie,English
672,725.0,22.8791773779,23.2969151671,camouflage,English
